geopixel,device_total_security_score
102_420,0.7709766405409559
102_421,0.7569521604938274
102_422,0.7703460837887068
102_423,0.7712037037037036
102_424,0.7644003527336862
102_425,0.7393827160493823
102_426,0.7843685488767457
102_427,0.7628361237950279
102_428,0.7712688614540464
102_429,0.7606087962962962
102_430,0.7651631393298058
102_431,0.7667164570230609
102_432,0.756748508808434
102_433,0.7632034165948894
102_434,0.7624230019493179
102_435,0.7643422318422317
102_436,0.7659071180555553
102_437,0.7561941251596419
102_438,0.7627792359288422
102_439,0.7607444444444447
102_440,0.7694786324786327
102_441,0.7650958994708998
102_442,0.7721170033670034
102_443,0.7607841792409692
102_444,0.7583708391936239
102_445,0.7603243190280223
102_446,0.7669882154882155
102_447,0.7588220164609052
102_448,0.7625796590241035
102_449,0.7635914485914489
102_450,0.7645528120713305
102_451,0.7651818028073735
102_452,0.7655747515808492
102_453,0.7593308641975309
102_454,0.7618219832735962
102_455,0.7640895779500425
102_456,0.7624817850637524
102_457,0.7525612535612535
102_458,0.7718792866941003
102_459,0.7608333333333325
103_408,0.7561047254150693
103_409,0.759664351851852
103_410,0.7630021367521369
103_411,0.7627328126848893
103_412,0.7590831586303286
103_413,0.7611628086419754
103_414,0.7611533052039383
103_415,0.7600166288737717
103_416,0.7624984090619833
103_417,0.7670761670761671
103_418,0.7637127371273713
103_419,0.7593063872255489
103_420,0.7684836817015035
103_421,0.7591843033509702
103_422,0.7594883543337151
103_423,0.7652501970055166
103_424,0.7754304304304307
103_425,0.7556082375478927
103_426,0.7639218921892194
103_427,0.7455304069501602
103_428,0.7558796296296302
103_429,0.7580781391147245
103_430,0.7785291438979967
103_431,0.7532264957264959
103_432,0.7591152263374487
103_433,0.7594298245614036
103_434,0.7598011982570808
103_435,0.7676339747568799
103_436,0.756605705083966
103_437,0.7558417508417502
103_438,0.7596823116219669
103_439,0.768703703703704
103_440,0.7503549382716055
103_441,0.7478935185185192
103_442,0.767075796726959
103_443,0.767089947089948
103_444,0.759903261470426
103_445,0.7581117724867724
103_446,0.7591842168966352
103_447,0.7628890669515669
103_448,0.7600633111744222
103_449,0.7589633447880869
103_450,0.7601686663189013
103_451,0.7620970695970694
103_452,0.7586842105263163
103_453,0.763804713804714
103_454,0.7611682500344211
103_455,0.759756416167205
103_456,0.761494276094276
103_457,0.7622968490878939
103_458,0.7607764782326187
103_459,0.7579842137219187
103_460,0.7740534979423868
104_408,0.7718287037037038
104_409,0.7649172576832155
104_410,0.7656306042884987
104_411,0.7624204486176317
104_412,0.7579389034703997
104_413,0.762897208803006
104_414,0.7639793281653747
104_415,0.7560890890890891
104_416,0.7624365569272975
104_417,0.7621264610618222
104_418,0.7628516210914962
104_419,0.7653248587570624
104_420,0.7608948261238337
104_421,0.7576263855095973
104_422,0.7582128876844326
104_423,0.7695537706381081
104_424,0.7656666666666672
104_425,0.7804485951468713
104_426,0.761688825577714
104_427,0.7714334705075447
104_428,0.7643650793650791
104_429,0.7668357953329054
