geopixel,auc
107_412,0.7667493796526055
107_413,0.7326923076923078
107_414,0.8388746803069053
107_415,0.7088906372934697
107_416,0.8907407407407407
107_417,0.7710526315789474
107_418,0.8220164609053497
107_419,0.8340740740740741
107_420,0.7721088435374149
107_421,0.7327586206896551
107_422,0.7047146401985112
107_423,0.7800925925925926
107_424,0.8741312741312741
107_425,0.8467643467643468
107_426,0.8109010011123471
107_427,0.6886446886446886
107_428,0.7666666666666667
107_429,0.8051948051948052
107_430,0.7854938271604939
107_431,0.9014423076923077
107_432,0.8781818181818182
107_433,0.8037127206329884
107_434,0.8434982738780207
107_435,0.8368794326241136
107_436,0.840042372881356
107_437,0.8282051282051281
107_438,0.8883333333333334
107_439,0.8194444444444444
107_440,0.5619047619047619
107_441,0.9764705882352942
107_442,0.7019607843137255
107_443,0.9833333333333334
107_444,0.9375
107_445,0.7176470588235294
107_446,0.78125
107_447,0.865079365079365
107_448,0.9022727272727273
107_449,0.8381642512077294
107_450,0.8977777777777778
107_451,0.7777777777777777
107_452,0.8136645962732919
107_453,0.754985754985755
107_454,0.7060810810810811
107_455,0.8381578947368421
107_456,0.7784743991640543
107_457,0.7948343079922028
107_458,0.8368506493506495
107_459,0.8736263736263736
107_460,0.8141025641025641
107_461,1.0
108_408,0.85
108_409,0.9208333333333334
108_410,0.8329519450800915
108_411,0.8364279398762157
108_412,0.7544973544973546
108_413,0.7667887667887668
108_414,0.8533333333333334
108_415,0.7668918918918919
108_416,0.8333333333333334
108_417,0.8815359477124183
108_418,0.9085841694537347
108_419,0.8095238095238095
108_420,0.7995951417004048
108_421,0.7408585055643879
108_422,0.8618951612903226
108_423,0.843915343915344
108_424,0.8263888888888888
108_425,0.6874458874458875
108_426,0.81657848324515
108_427,0.8657142857142857
108_428,0.8597475455820476
108_429,0.8827586206896552
108_430,0.8257575757575757
108_431,0.8154761904761905
108_432,0.8505595786701778
108_433,0.8401455767077267
108_434,0.8347302252488213
108_435,0.8160377358490566
108_436,0.8286338797814208
108_437,0.8366914103923647
108_438,0.7813852813852814
108_439,0.7576923076923077
108_440,0.6713286713286714
108_441,0.8080808080808081
108_442,0.9142857142857141
108_443,0.8441558441558441
108_444,0.375
108_445,0.9857142857142858
108_446,0.8666666666666667
108_447,0.9090909090909092
108_448,0.8888888888888888
108_449,0.7751724137931035
108_450,0.8396656534954408
108_451,0.788218793828892
108_452,0.7258522727272727
108_453,0.8432108027006753
108_454,0.9015151515151515
108_455,0.863568215892054
108_456,0.8131041890440386
108_457,0.8221153846153846
108_458,0.8186274509803921
108_459,0.8419753086419753
108_460,0.5416666666666667
108_461,1.0
109_408,0.8148148148148149
109_409,0.85
109_410,0.7823275862068966
109_411,0.8350970017636685
109_412,0.8836363636363637
109_413,0.8006379585326954
109_414,0.7811059907834101
109_415,0.7333333333333334
109_416,0.8804347826086957
109_417,0.7280219780219781
109_418,0.87890625
109_419,0.8776041666666667
109_420,0.8333333333333333
109_421,0.8284023668639053
109_422,0.7828947368421052
109_423,0.7713068181818181
109_424,0.8207885304659499
109_425,0.7526881720430108
109_426,0.8241935483870969
109_427,0.803030303030303
109_428,0.8091755319148937
109_429,0.7306397306397306
109_430,0.7937062937062938
109_431,0.7342304457527333
109_432,0.8203125
109_433,0.8501567398119122
109_434,0.7777777777777778
109_435,0.76576852418861
109_436,0.839818763326226
109_437,0.8468253968253968
109_438,0.8207792207792208
109_439,0.8166666666666667
109_440,1.0
109_441,0.8999999999999999
109_442,0.8796992481203008
109_443,0.4
109_444,0.5
109_445,1.0
109_446,0.6923076923076923
109_447,0.8409610983981693
109_448,0.9013605442176871
109_449,0.8494318181818182
109_450,0.8458230958230958
109_451,0.9206081081081081
109_452,0.8362573099415205
109_453,0.8209523809523809
109_454,0.8636363636363636
109_455,0.860450563204005
109_456,0.8328664799253035
109_457,0.8120516499282638
109_458,0.7756272401433691
109_459,0.7218045112781954
109_460,1.0
110_408,0.75
110_409,0.8088235294117647
110_410,0.7936507936507936
110_411,0.8895253682487725
