geopixel,auc
103_409,0.9368421052631579
103_410,0.7919799498746867
103_411,0.7684275184275184
103_412,0.8439849624060151
103_413,0.8226711560044894
103_414,0.8520833333333333
103_415,0.833939393939394
103_416,0.762987012987013
103_417,0.8015988372093024
103_418,0.8504464285714286
103_419,0.8655700510493477
103_420,0.9006734006734007
103_421,0.9166666666666667
103_422,0.9215686274509804
103_423,0.8994082840236686
103_424,0.8877551020408162
103_425,0.6125
103_426,0.8520710059171597
103_427,0.85
103_428,0.8018518518518518
103_429,0.925
103_430,0.796078431372549
103_431,0.782608695652174
103_432,0.8594164456233422
103_433,0.8414351851851852
103_434,0.8915470494417863
103_435,0.8746081504702194
103_436,0.8854166666666667
103_437,0.8888888888888888
103_438,0.8901098901098902
103_439,0.6326530612244898
103_440,0.4
103_441,1.0
103_442,0.9047619047619048
103_443,0.7083333333333334
103_444,0.8777777777777778
103_445,0.8209876543209877
103_446,0.6560846560846562
103_447,0.7978395061728395
103_448,0.8696581196581197
103_449,0.8528428093645485
103_450,0.8709677419354839
103_451,0.8006993006993007
103_452,0.6909090909090909
103_453,0.787878787878788
103_454,0.8460278460278461
103_455,0.7119341563786008
103_456,0.8015151515151515
103_457,0.8653225806451613
103_458,0.8517647058823529
103_459,0.6333333333333333
103_460,0.5
104_408,0.95
104_409,0.8424242424242424
104_410,0.9236111111111112
104_411,0.8712121212121213
104_412,0.7885304659498208
104_413,0.8571428571428571
104_414,0.775892857142857
104_415,0.8994307400379506
104_416,0.8207236842105263
104_417,0.8303030303030303
104_418,0.7852960312296682
104_419,0.8208168642951252
104_420,0.8666666666666665
104_421,0.8879551820728291
104_422,0.8970588235294117
104_423,0.8363636363636364
104_424,0.846938775510204
104_425,0.8487394957983193
104_426,0.8944444444444444
104_427,0.8095238095238095
104_428,0.6802721088435374
104_429,0.8140495867768595
104_430,0.6866666666666666
104_431,0.7806324110671936
104_432,0.7479166666666667
104_433,0.7635746606334842
104_434,0.8174603174603176
104_435,0.868945868945869
104_436,0.8511904761904762
104_437,0.8093645484949832
104_438,0.7202380952380952
104_439,0.8333333333333334
104_440,0.8928571428571429
104_441,0.8392857142857142
104_442,-1.0
104_443,0.5
104_444,0.953125
104_445,0.6529411764705881
104_446,0.8503401360544218
104_447,0.7446969696969697
104_448,0.8897435897435897
104_449,0.8370535714285714
104_450,0.8055555555555556
104_451,0.7881944444444444
104_452,0.8227513227513227
104_453,0.7435897435897436
104_454,0.8938938938938938
104_455,0.8927083333333333
104_456,0.7357320099255583
104_457,0.8798185941043084
104_458,0.903225806451613
104_459,0.7592592592592593
104_460,0.8
104_461,-1.0
105_408,0.9375
105_409,0.8306878306878307
105_410,0.7638888888888888
105_411,0.8541666666666667
105_412,0.8150537634408602
105_413,0.862962962962963
105_414,0.8311111111111111
105_415,0.6958333333333334
105_416,0.8172043010752688
105_417,0.8861788617886179
105_418,0.8631239935587761
105_419,0.882716049382716
105_420,0.7541666666666667
105_421,0.7828054298642534
105_422,0.8173076923076923
105_423,0.7761904761904762
105_424,0.7840909090909091
105_425,0.8851851851851852
105_426,0.8666666666666667
